City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
274,wuhai,39.6647,106.8122,300.57,28,0,8.9,CN,1689700432
275,piti village,13.4626,144.6933,301.18,87,20,2.57,GU,1689700432
276,san pedro pochutla,15.7333,-96.4667,306.88,52,56,2.53,MX,1689700153
277,sirkazhi,11.2333,79.7333,302.88,53,73,6.1,IN,1689700433
278,shibetsu,43.659,145.132,286.79,92,97,0.85,JP,1689700433
279,aligudarz,33.4006,49.6949,296.37,14,0,0.24,IR,1689700434
280,bengkulu,-3.8004,102.2655,297.6,90,61,3.25,ID,1689700435
281,punta arenas,-53.15,-70.9167,276.21,75,0,6.69,CL,1689700435
282,saint-joseph,-21.3667,55.6167,294.36,78,27,6.18,RE,1689700435
283,sabalgarh,26.25,77.4,306.49,58,100,1.25,IN,1689700435
284,roma,43.2128,-75.4557,300.58,71,40,2.57,US,1689700436
285,kalat,29.0225,66.5916,301.78,24,76,0.59,PK,1689700436
286,gebeit,21.0667,36.3167,308.64,15,25,4.96,SD,1689700436
287,new bern,35.1085,-77.0441,306.49,49,0,2.57,US,1689700424
288,serenje,-13.2325,30.2352,286.87,51,0,3.2,ZM,1689700436
289,bouake,7.6895,-5.0218,303.21,70,75,3.09,CI,1689700437
290,saint-pierre,-21.3393,55.4781,294.97,78,0,9.26,RE,1689700437
291,borba,-4.3878,-59.5939,310.44,29,4,2.11,BR,1689700437
292,wanning,18.8003,110.3967,300.39,92,91,2.49,CN,1689700437
293,crane,31.3974,-102.3501,309.09,22,0,8.79,US,1689700438
294,necochea,-38.5473,-58.7368,281.49,36,0,2.67,AR,1689700438
295,yakeshi,49.2833,120.7333,290.69,89,5,0.81,CN,1689700439
296,paulden,34.8856,-112.4682,309.3,30,4,0.89,US,1689700439
297,isafjordur,66.0755,-23.124,283.17,76,0,3.09,IS,1689700439
298,holualoa,19.6228,-155.9522,298.06,80,20,6.17,US,1689700386
299,bijapur,16.8333,75.7,294.99,88,100,11.59,IN,1689700413
300,hammerfest,70.6634,23.6821,283.4,100,75,4.63,NO,1689700439
301,dwarka,22.2394,68.9678,301.72,79,98,7.45,IN,1689700440
302,yeed,4.55,43.0333,303.08,36,59,8.49,SO,1689700440
303,ploneour-lanvern,47.9,-4.2833,292.33,72,20,6.17,FR,1689700440
304,crucecita,-28.95,-58.9833,287.03,35,3,3.02,AR,1689700440
305,monrovia,6.3005,-10.7969,301.02,83,91,4.68,LR,1689700441
306,borgarnes,64.5383,-21.9206,289.71,48,8,3.22,IS,1689700441
307,san luis,-33.295,-66.3356,286.21,39,34,5.0,AR,1689700441
308,anloga,5.7947,0.8973,299.33,85,99,8.36,GH,1689700441
309,tamanrasset,22.785,5.5228,310.1,10,0,2.06,DZ,1689700441
310,malango,-2.9627,119.9001,292.32,95,89,0.74,ID,1689700442
311,mbandaka,0.0487,18.2603,298.86,65,91,0.2,CD,1689700442
312,abra pampa,-22.7205,-65.697,284.72,5,0,0.9,AR,1689700442
313,thompson,55.7435,-97.8558,293.24,56,40,2.06,CA,1689700331
314,mana,5.6592,-53.7767,302.99,66,19,3.98,GF,1689700443
315,kalmunai,7.4167,81.8167,301.32,61,81,3.23,LK,1689700443
316,quincy,42.2529,-71.0023,304.54,68,75,4.63,US,1689700250
317,vila franca do campo,37.7167,-25.4333,295.38,63,75,0.97,PT,1689700444
318,keflavik,64.0049,-22.5624,287.1,71,20,8.75,IS,1689700444
319,al ghayzah,16.2079,52.176,299.74,83,20,6.0,YE,1689700444
320,sylvan lake,52.3168,-114.0853,290.91,64,20,8.75,CA,1689700445
321,santa maria,-29.6842,-53.8069,284.13,61,54,3.98,BR,1689700445
322,jamaame,0.0697,42.745,297.91,79,12,5.34,SO,1689700445
323,nova xavantina,-14.6667,-52.35,309.52,20,38,2.01,BR,1689700446
324,boali,4.8005,18.1275,300.01,79,100,1.19,CF,1689700284
325,monchegorsk,67.9397,32.8739,292.11,60,40,3.68,RU,1689700446
326,sinanju,39.5981,125.6097,293.76,94,0,0.72,KP,1689700446
327,kyabe,9.4515,18.9449,303.95,54,21,1.11,TD,1689700447
328,virginia,37.5481,-77.4467,305.56,51,20,4.63,US,1689700447
329,scottburgh,-30.2867,30.7532,292.3,61,0,2.59,ZA,1689700447
330,shar,49.5886,81.0453,296.47,37,20,4.4,KZ,1689700448
331,jinka,5.65,36.65,295.18,53,69,0.62,ET,1689700448
332,taro,-8.3862,115.28,295.15,92,80,1.62,ID,1689700448
